                                                                                                    0x00001505
ABILITIES                                                                                           0x5987c381
Background                                                                                          0xe7bdee8b
BasicAttack                                                                                         0xcab4fa57
Beard                                                                                               0x0c9368d5
Blood Swipe                                                                                         0x4927a797
Blush Color                                                                                         0x7c46e2f8
Blush Intensity                                                                                     0x000f59ea
Bookseller                                                                                          0xc9a5d84d
Bridge Position                                                                                     0xdd651c23
Brightness                                                                                          0x88fdca2c
Broken Nose                                                                                         0x1bde9e0d
Brow Size                                                                                           0x3ed3c788
BuySellTab                                                                                          0x9c9e83ca
CAMPAIGN_LABEL                                                                                      0xdab97322
CAPACITY                                                                                            0x8f3f5b91
CATEGORY_RUNES_AND_SIGILS                                                                           0xa059b4f5
CHALLENGES                                                                                          0xacc79b35
CHALLENGES_LABEL                                                                                    0xa4b9584c
CHANCE_MASTERWORK_TEMPLATE                                                                          0xe144958a
CHANGECHARACTER_BUTTON_LABEL                                                                        0x85f0cc0a
CHANGE_DIFFICULTY                                                                                   0x27827dcf
CHANGE_RUNE_TEXT                                                                                    0xc0879852
CHANGE_RUNE_TITLE                                                                                   0xd174404f
CHANGE_UPGRADE_TEXT                                                                                 0x07a24b0e
CHANGE_UPGRADE_TITLE                                                                                0xfbf20f13
CHAPTER                                                                                             0x3bb901dc
CHARACTER                                                                                           0x1373f17c
CHARACTERS_MENU_ITEM                                                                                0x8a8ef109
CHARGEN_CLASS                                                                                       0xf909aa00
CHARGEN_CREATION                                                                                    0xcaf11587
CHARGEN_DIFFICULTY                                                                                  0x7a6b1cbd
CHARGEN_RACE                                                                                        0xe88a7c1b
CHARGEN_SUMMARY                                                                                     0x1c94e022
CHARGEN_WORLDSTATE                                                                                  0xaa25bddb
CINEMATIC                                                                                           0x08382176
CLICK_TO_REPLENISH                                                                                  0xd32c72c2
CODEX                                                                                               0x0cbd0ef0
COLLECTION_PROGRESS                                                                                 0xcf4ebc91
COMBAT_NOTIFICATION                                                                                 0x91bf2d01
COMPARE                                                                                             0x2fa50ac2
COMPLETE                                                                                            0x2448574c
CONFIRM_CHANGES                                                                                     0x37022f1d
CONFIRM_DESTROY_ITEM                                                                                0x708c60a0
CONFIRM_EXIT_SCREEN                                                                                 0xeb23193b
CONFIRM_LEAVE_CHARGEN                                                                               0x81d448d8
CONFIRM_LEAVE_PRESET                                                                                0x6f65de29
CONFIRM_MELT_ITEM                                                                                   0x38d7bfd2
CONFIRM_MELT_MARKED_ITEMS                                                                           0xc51c018a
CONFIRM_OPTION_CHANGES                                                                              0xe9609821
CONFIRM_SAVE_AND_EXIT_SCREEN                                                                        0xcf232b51
CONFIRM_SAVE_PICTURE                                                                                0xaccb455a
CONFIRM_TITLE                                                                                       0x9d585d48
CONFIRM_TRAVEL_TEXT                                                                                 0xc6c53372
CONNECTIONS_TEXT                                                                                    0xfda52bc2
CONSTITUTION                                                                                        0xdd8b9294
CONTINUE                                                                                            0x33c6f524
CORE_STATS                                                                                          0xe2fe5300
COST                                                                                                0x7c81dbce
COST_TEXT                                                                                           0x33fb0f0c
COURTYARD_INFIRMARY                                                                                 0x60ddcc56
COURTYARD_SPARRING_RING                                                                             0x5e881484
CRAFTING_MENU_ITEM                                                                                  0x6a046ae1
CREATEMATCH                                                                                         0x9597e772
CREATE_ACCOUNT_TITLE                                                                                0x76f90860
CREATE_BUTTON_LABEL                                                                                 0x3ab9dd71
CREATE_OR_ASSOCIATE_DESC                                                                            0xde36d326
CREATE_OR_ASSOCIATE_TITLE                                                                           0xa3f28dd7
CUNNING                                                                                             0x3f31b8d3
CUSA00220_00                                                                                        0xd03a296e
CUSA00503_00                                                                                        0xd73b1568
CUSA00728                                                                                           0x36c3da9c
CUSA00728_00                                                                                        0xdbc3c8c3
CameraAutoCenter                                                                                    0x436aa558
CameraMovementSensitivity                                                                           0xe9a97332
CameraTacticalZoom                                                                                  0x2b828aae
Cancel                                                                                              0xa1e48be3
Cassandra                                                                                           0x1fff82ff
CategoryTab                                                                                         0xfbd947a2
Challenges                                                                                          0xb2d6d395
Chantry Lay Brother 1                                                                               0x12443def
Chantry Lay Brother 2                                                                               0x12443dec
Charge                                                                                              0xa287091f
ChargeBG                                                                                            0x606dc41a
ChargeBar                                                                                           0x6e264bce
Cheek Shape                                                                                         0x1fe3b1ea
Cheekbones                                                                                          0x98eae690
Chin Shape                                                                                          0xddede946
Chin Size                                                                                           0xef73cb2c
CircleButton                                                                                        0x0c229741
ClassBkg_Against                                                                                    0xdac720dd
ClassBkg_Carta                                                                                      0xaa748b5f
ClassBkg_For                                                                                        0x69b4f5c1
ClosingAttack                                                                                       0xf33c6ebe
Club                                                                                                0x7c815c3d
Cole                                                                                                0x7c813c40
Complexion                                                                                          0xd193f80d
ConceptAOETargetingCancel                                                                           0x5e685a59
ConceptAOETargetingConfirm                                                                          0x1e9787ed
ConceptAbilitySetNext                                                                               0xf2de22a2
ConceptAbilitySetPrev                                                                               0xf2e57d14
ConceptActivate                                                                                     0xad7c36fc
ConceptAlt1                                                                                         0x62890ded
ConceptAlt2                                                                                         0x62890dee
ConceptAutoAttack                                                                                   0x17d9ee02
ConceptBack                                                                                         0x628bb3ee
ConceptBuyNow                                                                                       0x351b5ffd
ConceptCallout0                                                                                     0x345bde99
ConceptCallout1                                                                                     0x345bde98
ConceptCallout2                                                                                     0x345bde9b
ConceptCallout3                                                                                     0x345bde9a
ConceptCameraPan                                                                                    0xc4571fe3
ConceptCameraPitch                                                                                  0x369aabda
ConceptCameraYaw                                                                                    0xc456f933
ConceptCancel                                                                                       0x3656b603
ConceptChangeVehicle                                                                                0x9ca79adb
ConceptConversationChangeSelection                                                                  0x2247712e
ConceptConversationResponseE                                                                        0xcc07372e
ConceptConversationResponseNE                                                                       0x4cee1b80
ConceptConversationResponseNW                                                                       0x4cee1b92
ConceptConversationResponseSE                                                                       0x4cee1e7d
ConceptConversationResponseSW                                                                       0x4cee1e6f
ConceptConversationResponseW                                                                        0xcc07373c
ConceptConversationSelect                                                                           0x642d7060
ConceptConversationSkip                                                                             0xb02a3369
ConceptDeactivate                                                                                   0xc20b573d
ConceptDismount                                                                                     0xed936416
ConceptDropTorch                                                                                    0x1d391aae
ConceptEdit                                                                                         0x6286da99
ConceptFire                                                                                         0x6289a59d
ConceptFreeCameraDecreaseSpeed                                                                      0x803f1a2d
ConceptFreeCameraIncreaseSpeed                                                                      0xf33fcecb
ConceptFreeCameraMoveDown                                                                           0x9fdca90b
ConceptFreeCameraMoveFB                                                                             0x0642421d
ConceptFreeCameraMoveLR                                                                             0x06424147
ConceptFreeCameraMoveUp                                                                             0x06423f9c
ConceptFreeCameraRotateX                                                                            0x66dbc789
ConceptFreeCameraRotateY                                                                            0x66dbc788
ConceptInteract                                                                                     0x79529397
ConceptInvToggleCompareOffhand                                                                      0x958faa8d
ConceptJump                                                                                         0x62904927
ConceptLThumb                                                                                       0x3358e90f
ConceptLoadScreenButtonScrollDown                                                                   0xc12d19c6
ConceptLoadScreenButtonScrollUp                                                                     0xd99fe2d1
ConceptLoadScreenCardLeft                                                                           0xecd157a0
ConceptLoadScreenCardRight                                                                          0x85b6b3db
ConceptLockTarget                                                                                   0x2a842abf
ConceptMPGameBrowser                                                                                0x5f53b57a
ConceptMPMarkForSalvage                                                                             0x5585e9dd
ConceptMPMutePlayer                                                                                 0x49218022
ConceptMPPotion1                                                                                    0x97e5020a
ConceptMPReadyUp                                                                                    0x604d6e76
ConceptMPSettings                                                                                   0xcf58451d
ConceptMPStore                                                                                      0x4ecf0407
ConceptMPViewInvites                                                                                0xa52a7c2f
ConceptMPVoteToKick                                                                                 0x299198e1
ConceptMainMenuSpotlight                                                                            0x797b339b
ConceptManualTargetingFB                                                                            0x638df82a
ConceptManualTargetingLR                                                                            0x638df7f0
ConceptMapZoom                                                                                      0x716cf7ae
ConceptMeleeAttack                                                                                  0x3a73ce29
ConceptMenu                                                                                         0x628b37f6
ConceptMenuAlt                                                                                      0x795bcd6f
ConceptMenuNavigateFB                                                                               0x41d5d075
ConceptMenuNavigateLR                                                                               0x41d5d0af
ConceptMenuTriggerLeft                                                                              0x5bcb2455
ConceptMenuTriggerRight                                                                             0xd745ca8e
ConceptMoveBackward                                                                                 0xaf452c1f
ConceptMoveFB                                                                                       0x321d55b0
ConceptMoveForward                                                                                  0xc2500aef
ConceptMoveLR                                                                                       0x321d56ea
ConceptMoveLeft                                                                                     0x2ece750f
ConceptMoveRight                                                                                    0x07136294
ConceptOccularumPitch                                                                               0x16a0af5e
ConceptOccularumYaw                                                                                 0xcd3e4bb7
ConceptPCCombatSwitchTargets                                                                        0x63cc0630
ConceptPCShiftModifier                                                                              0x8b9aa441
ConceptParentNavigateLeft                                                                           0x8546b5a5
ConceptParentNavigateRight                                                                          0x2d64193e
ConceptPartyCommand1                                                                                0xa58c697d
ConceptPartyCommand2                                                                                0xa58c697e
ConceptPartyCommand3                                                                                0xa58c697f
ConceptPartyCommand4                                                                                0xa58c6978
ConceptPauseAndPlay                                                                                 0xcadf9378
ConceptPauseAndPlayCycleTargetsBackward                                                             0x67f986a1
ConceptPauseAndPlayCycleTargetsForward                                                              0xd4c5f211
ConceptPauseAndPlayEngage                                                                           0x6fe98bf7
ConceptPauseAndPlayIssueDefaultCommand                                                              0xc40d504d
ConceptPitch                                                                                        0xb4bd5083
ConceptPotion1                                                                                      0xcc286617
ConceptPotion2                                                                                      0xcc286614
ConceptPotionHeal                                                                                   0x73537766
ConceptPushToTalk                                                                                   0x6e027872
ConceptQuickLoad                                                                                    0xee063b86
ConceptQuickPadLeft                                                                                 0xede3574e
ConceptQuickPadRight                                                                                0xa950e675
ConceptQuickSave                                                                                    0xee070241
ConceptQuickShowCharRec                                                                             0xa08d120f
ConceptQuickShowInventory                                                                           0x4f8fcf69
ConceptQuickShowJournal                                                                             0xb499ee42
ConceptQuickShowMap                                                                                 0x16f4e57f
ConceptRThumb                                                                                       0x5a451c51
ConceptRefreshList                                                                                  0x0ef8e61a
ConceptScoreboard                                                                                   0xaf4d4957
ConceptSearch                                                                                       0x5b5df0ab
ConceptSelect                                                                                       0x5b68708d
ConceptSelectInventoryItem1                                                                         0x64164ec3
ConceptSelectInventoryItem2                                                                         0x64164ec0
ConceptSelectInventoryItem3                                                                         0x64164ec1
ConceptSelectInventoryItem4                                                                         0x64164ec6
ConceptSelectInventoryItem5                                                                         0x64164ec7
ConceptSelectInventoryItem6                                                                         0x64164ec4
ConceptSelectInventoryItem7                                                                         0x64164ec5
ConceptSelectInventoryItem8                                                                         0x64164eca
ConceptSelectPartyMember0                                                                           0x458ccfc3
ConceptSelectPartyMember1                                                                           0x458ccfc2
ConceptSelectPartyMember2                                                                           0x458ccfc1
ConceptSelectPartyMember3                                                                           0x458ccfc0
ConceptSelectPartyMemberNext                                                                        0x5bf57634
ConceptSelectPartyMemberPrev                                                                        0x5be9b102
ConceptSimpleConversationOptIn                                                                      0xcc734c6a
ConceptSimpleConversationOptOut                                                                     0x5adcc2e3
ConceptSprint                                                                                       0x5a9f7567
ConceptSummonMount                                                                                  0x258edf0f
ConceptSwitchAbilitySets                                                                            0x07530e44
ConceptSwitchStances                                                                                0x715d32ea
ConceptTacticalMenu                                                                                 0x0f7c5cf3
ConceptToggleAutoRun                                                                                0x9d6a3f91
ConceptToggleMouseLook                                                                              0xf0a6d511
ConceptToggleSheatheWeapon                                                                          0x2a260533
ConceptToggleWalk                                                                                   0x3030eb26
ConceptTutorialMoreInfo                                                                             0x625ca6b2
ConceptUndefined                                                                                    0x77cb49ff
ConceptView                                                                                         0x62926aa8
ConceptWarTableClick                                                                                0x3f0c4fb1
ConceptWarTableFastTravel                                                                           0xc25572c7
ConceptWarTableInqPerks                                                                             0x729b4036
ConceptYaw                                                                                          0xd47127aa
ConceptZoom                                                                                         0x629892f2
Cooldown                                                                                            0x15840d18
CooldownDetail                                                                                      0xb11c4609
CoopGameMapId                                                                                       0x38580c29
CoopGameVariant                                                                                     0x5158408f
CoopGameVisibility                                                                                  0x049c459e
CoopLevelSelected                                                                                   0xaa666a69
Corypheus                                                                                           0x42e46d59
Corypheus (Ghostly Voice)                                                                           0xb0a2bcfc
Crafting                                                                                            0x02d7ace7
CreateMatch                                                                                         0xceba2452
CrossButton                                                                                         0x6d303a4d
Crossbow                                                                                            0x1855d2e1
Cullen                                                                                              0xa2c51ef8
CursorSize                                                                                          0xac8a4cea
DA:I                                                                                                0x7c7f09f3
DAI-PS4-BLAZE-SERVER                                                                                0xa511e1e6
DAI-PS4-CLIENT                                                                                      0x8d8ef387
